seed,equipo,tema,repo_url
987,Soviets,tickets de soporte,https://github.com/Lycanites/POCD-Soviets-Suport-Tickets-987.git
377,Hondurenos,streaming musical,https://github.com/oscarcrzz/ProgramacionLCD.git
610,NPC,streaming musical,https://github.com/Fernando-M-R/ProgramacionCienciaDatos-LMDA-MRF.git
8,Mamba,boletos deportivos,https://github.com/EbolitaDevelopment/pcd20271MAMBA.git
144,Alergicos_al_10,pedidos a domicilio,https://github.com/Margiee293/PCD_Coy_Ramos.git
13,JR,boletos deportivos,
21,LUMINA,citas medicas,https://github.com/ValCelis/LUMINA.git
1,los_cazadores_de_bandides,ventas online,https://github.com/Ulises-Perez-Davila/PCD-Sexcom.git
6765,Asterix,reservaciones,https://github.com/erizo0/PCD_EquipoAsterix2026.git
55,the_sea_bros,reportes transito,https://github.com/fernandolegaria07-glitch/PCD.git
2,Tifosis,ventas online,https://github.com/arvicamp/Repositorio_PCD.git
10946,Yayos,reservaciones,https://github.com/regina04062007/Practicas_ProgramacionCienciaDatos.git
34,Pastes_Don_Miau,Citas medicas,https://github.com/MaylinAnzures/PCD.git
233,CVA_IXT,pedidos a domicilio,https://github.com/Kswwia20/PCD67_CVA_IXT.git
1597,Noble_6,tickets de soporte,https://github.com/LASDMK/PCD-Practicas.git
2584,Bit_and_Byte,inspeccion agricola,https://github.com/IsaacCH9/PCD_Bit_and_Byte.git
3,Orugas,reseñas de cursos,https://github.com/danihortaa/prograCD_orugas.git
